,AHP,SWARA,LBWA,SAPEVO
$C_{1}$,0.11649503779328321,0.12088606472416892,0.13409348962914394,0.12500000000000003
$C_{2}$,0.08039710727058896,0.08610118570097504,0.08045609377748637,0.08750000000000001
$C_{3}$,0.061432101814617876,0.06888094856078002,0.06188930290575875,0.07500000000000001
$C_{4}$,0.061432101814617834,0.06888094856078002,0.06188930290575875,0.07500000000000001
$C_{5}$,0.020516973927510986,0.04124607698250301,0.018710719483136365,0.0
$C_{6}$,0.0614321018146179,0.06888094856078002,0.06188930290575875,0.07500000000000001
$C_{7}$,0.10648668365303617,0.10332142284117002,0.08939565975276263,0.11875000000000001
$C_{8}$,0.10648668365303612,0.10332142284117002,0.08939565975276263,0.11875000000000001
$C_{9}$,0.19266060412934546,0.16924049061383648,0.20114023444371593,0.1625
$C_{10}$,0.1926606041293455,0.16924049061383648,0.20114023444371593,0.1625
